Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area
Male,1,0,1,0,445600,0,13100000,180,0,2
Male,1,2,1,0,463500,800000,10200000,180,1,0
Male,1,0,1,0,357100,191700,13500000,360,1,1
Male,0,0,1,0,306600,0,9500000,360,1,2
Male,0,2,0,0,323500,201500,7700000,360,1,2
Female,0,0,1,,505800,0,20000000,360,1,0
Male,1,0,1,1,318800,228600,13000000,360,,0
Male,1,3,1,0,1351800,0,39000000,360,1,0
Male,1,1,1,0,436400,250000,18500000,360,1,2
Male,1,2,0,0,476600,164600,10000000,360,1,2
Male,1,1,1,0,460900,233300,12300000,360,0,2
Female,1,3,1,0,626000,0,11000000,360,1,2
Male,1,1,1,0,333300,420000,25600000,360,1,1
Male,1,0,1,0,350000,325000,14000000,360,1,2
Male,1,3,1,0,971900,0,6100000,360,1,1
Male,1,3,1,0,683500,0,18800000,360,,2
Male,0,0,1,0,445200,0,13100000,360,1,0
Female,1,0,1,0,226200,0,0,480,0,2
Male,1,1,1,0,390100,0,11600000,360,1,1
Male,1,2,0,0,268700,0,5000000,180,1,0
Male,0,0,1,0,224300,223300,10700000,360,,2
Female,1,0,1,0,341700,128700,20000000,360,1,2
,0,0,1,0,159600,176000,11900000,360,0,1
Male,1,3,1,0,451300,0,12000000,360,1,0
Male,1,0,1,0,450000,0,14000000,360,1,2
Male,1,0,0,0,452300,135000,16500000,360,1,1
Female,0,0,1,1,474200,0,10800000,360,1,2
Male,1,,1,0,408200,0,9300000,360,1,2
Female,0,0,1,0,341700,0,10200000,360,1,1
Female,1,2,1,0,292200,339600,12200000,360,1,2
Male,1,0,1,0,416700,475400,16000000,360,1,0
Male,0,3,1,0,424300,412300,15700000,360,,2
Female,0,0,0,0,0,176000,18000000,360,1,2
Male,1,1,1,0,151600,290000,8000000,,0,0
Female,0,0,1,0,176200,266600,10400000,360,0,1
Male,1,2,1,0,72400,351000,21300000,360,0,0
Male,0,0,1,0,312500,0,6500000,360,1,1
Male,1,0,1,0,233300,380300,14600000,360,1,0
Male,1,3,1,0,335000,156000,13500000,360,1,1
Male,0,0,1,0,250000,641400,18700000,360,0,0
Female,0,0,1,0,1250000,0,30000000,360,0,1
Male,0,0,1,0,466700,0,12000000,360,1,2
Male,0,0,1,0,650000,0,7100000,360,0,1
Male,1,2,1,0,750000,0,22500000,360,1,1
Male,0,0,1,0,307300,0,7000000,180,1,1
Male,1,1,0,0,332100,208800,7000000,,1,2
Male,1,0,1,0,333300,127000,12400000,360,1,1
Male,0,0,1,0,339100,0,13200000,360,1,0
Male,1,1,1,1,334300,151700,10500000,360,1,0
Female,0,1,1,0,362000,0,9000000,360,1,1
Male,0,0,1,0,400000,0,8300000,84,1,1
Male,1,0,1,0,425800,0,12500000,360,1,1
Male,1,2,1,0,450000,0,14700000,360,1,0
Male,1,1,1,0,201400,292500,12000000,360,1,0
,0,,1,0,333300,125000,11000000,360,1,2
Female,0,3,1,0,408300,0,10300000,360,,2
Male,0,0,1,0,472700,0,15000000,360,0,0
Male,1,3,1,0,308900,299900,10000000,240,1,0
Male,1,3,0,,679400,52800,13900000,360,0,1
Male,1,0,1,1,3200000,0,55000000,360,,2
Male,1,2,1,1,1089000,0,26000000,12,1,0
Female,0,0,1,0,1294100,0,15000000,300,1,1
Male,0,0,0,0,327600,0,9000000,360,1,2
Male,0,0,0,1,870300,0,19900000,360,0,0
Male,1,1,1,0,474200,71700,13900000,360,1,2
Male,0,0,1,0,590000,0,15000000,360,1,1
Male,0,0,1,0,307100,430900,18000000,360,1,1
Male,1,0,1,0,278300,145600,11300000,360,1,1
Male,0,0,1,0,500000,0,14800000,360,1,0
Male,1,1,0,0,246300,236000,11700000,360,0,1
Male,1,2,1,0,485500,0,7200000,360,1,0
Male,0,0,0,1,159900,247400,12500000,300,1,2
Male,1,2,1,1,424600,424600,21400000,360,1,1
Male,1,0,1,0,433300,229100,13300000,350,1,0
Male,0,1,1,0,582300,252900,18700000,360,1,2
Male,1,0,0,0,789500,0,14300000,360,1,0
Male,0,0,1,0,415000,425600,20900000,360,1,0
Male,0,0,1,,296400,0,8400000,360,0,2
Male,0,0,1,0,558300,0,11600000,360,1,1
Female,0,0,1,0,270800,0,6500000,360,1,0
Male,0,1,1,0,318000,237000,8000000,240,,0
Male,0,0,0,0,226800,0,17000000,360,0,2
Male,0,2,0,0,114100,201700,12000000,360,0,1
Male,1,0,1,0,304200,316700,13500000,360,1,1
Female,1,3,1,,175000,293500,9400000,360,0,2
Female,1,1,1,0,356400,0,7900000,360,1,0
Female,0,0,1,0,395800,0,11000000,360,1,0
Male,1,2,0,0,448300,0,13000000,360,1,0
Male,1,0,1,0,522500,0,14300000,360,1,0
Male,0,0,1,0,301700,284500,15900000,180,0,1
Male,1,0,0,0,243100,182000,11000000,360,0,0
Male,1,2,1,,491200,461400,16000000,360,1,0
Male,1,2,0,0,250000,333300,13100000,360,1,1
Female,0,0,1,0,291800,0,6500000,360,,0
Male,1,2,1,0,512800,0,14300000,360,1,0
Male,1,3,1,0,1531200,0,18700000,360,,1
Male,1,2,1,0,395800,263200,16000000,360,1,2
Male,1,0,1,0,433400,294500,16500000,360,1,2
Male,1,2,1,0,435800,0,11000000,360,1,1
Female,1,1,1,0,400000,391700,17300000,360,1,0
Male,1,3,1,0,1016600,75000,15000000,,1,1
Male,1,0,0,0,448300,0,13500000,360,,2
Male,1,2,0,0,452100,118400,15000000,360,1,2
Male,1,2,1,0,916700,0,23500000,360,1,2
Male,1,0,0,0,1308300,0,0,360,1,0
Male,1,2,1,0,787400,396700,33600000,360,1,0
Female,1,1,1,0,433300,0,13200000,84,1,0
Male,0,0,1,0,408300,0,9600000,360,1,1
Male,1,2,0,,378500,291200,18000000,360,0,0
Male,1,3,0,0,265400,199800,12800000,360,0,0
Male,1,1,1,0,1000000,269000,41200000,360,1,2
Male,0,0,1,1,583300,0,11600000,360,1,1
Male,1,1,1,0,479600,0,11400000,360,0,2
Male,1,0,0,0,200000,160000,11500000,360,1,0
Male,1,2,1,0,254000,70000,10400000,360,0,1
Male,1,0,1,1,190000,144200,8800000,360,1,0
Male,1,0,1,1,870600,0,10800000,480,1,0
Male,1,3,0,0,285500,54200,9000000,360,1,1
Male,1,,1,0,301600,130000,10000000,360,,1
Female,1,0,1,0,315900,237400,10800000,360,1,2
Female,0,0,1,0,193700,115200,7800000,360,1,2
Male,1,0,1,0,261300,241700,12300000,360,1,2
Male,1,1,1,0,496000,260000,18700000,360,1,2
Male,1,1,1,0,307400,108300,14600000,360,1,2
Female,0,0,1,0,421300,0,8000000,360,1,1
,0,1,0,0,203800,402700,10000000,360,1,0
Female,0,0,1,0,236200,0,5500000,360,1,1
Male,0,0,1,0,533300,240000,20000000,360,0,0
Male,1,3,1,1,538400,0,15000000,360,1,2
Male,0,0,1,0,570800,0,15000000,360,1,0
Male,1,0,0,0,375400,371900,11800000,,1,0
Male,1,0,0,0,291400,213000,15000000,300,1,1
Male,1,0,0,0,274700,245800,11800000,36,1,2
Male,1,0,1,0,783000,218300,21200000,360,1,0
Male,1,1,1,1,350700,314800,21200000,360,1,0
Male,1,1,1,0,374700,213900,12500000,360,1,1
Male,1,0,1,0,216600,216600,10800000,360,,1
Male,1,0,0,0,350000,216800,14900000,360,1,0
Male,1,2,0,0,289600,0,8000000,480,1,1
Female,0,1,1,0,506200,0,15200000,300,1,0
Female,0,2,1,1,518400,0,18700000,360,0,2
Female,0,0,1,0,254500,0,7400000,360,1,1
Male,1,0,1,0,255300,176800,10200000,360,1,1
Male,1,1,1,0,343600,380900,10000000,360,1,0
Male,0,0,1,0,241200,275500,13000000,360,1,0
Male,1,3,0,0,518000,0,12500000,360,0,1
Male,0,0,1,0,1491100,1450700,13000000,360,1,2
,0,0,1,1,286000,298800,13800000,360,1,1
Male,1,0,1,0,117300,159400,2800000,180,1,0
Female,0,1,1,0,760000,0,9200000,360,1,2
Female,1,0,1,0,215700,178800,10400000,360,1,1
Male,0,0,1,0,223100,277400,17600000,360,0,1
Female,0,0,1,0,227400,521100,11700000,360,0,2
Male,1,2,0,0,616600,1398300,10200000,360,1,0
Male,1,2,0,0,251300,111000,10700000,360,1,2
Male,0,0,1,0,433300,0,6600000,480,1,1
Male,0,0,0,0,384400,0,10500000,360,1,1
Male,1,0,1,0,388700,151700,10500000,360,0,2
Male,1,0,1,0,351000,82800,10500000,360,1,2
Male,1,0,1,,253900,170400,12500000,360,0,0
Female,0,0,0,0,210700,0,6400000,360,1,2
,1,0,1,0,318600,314500,15000000,180,0,2
Male,1,2,1,1,500000,216600,15000000,360,1,1
Male,1,,1,0,1000000,0,0,360,1,1
Male,1,0,0,1,394300,0,6400000,360,1,2
Male,0,0,1,0,292500,0,4000000,180,1,0
Male,1,3,1,0,324200,43700,14200000,480,0,1
Male,1,,1,0,386300,0,7000000,300,1,2
Female,0,1,1,0,402800,0,13100000,360,1,2
Male,1,2,1,0,401000,102500,12000000,360,1,1
Female,1,1,1,0,371900,158500,11400000,360,1,1
Male,0,0,1,,285800,0,12300000,360,0,0
Female,1,0,1,0,383300,0,9200000,360,1,0
Male,1,0,1,0,333300,428800,16000000,360,1,1
Male,1,0,1,0,300700,372500,15100000,360,1,0
Female,0,1,1,,185000,458300,8100000,360,,0
Male,1,3,0,0,279200,261900,17100000,360,1,2
Male,1,0,1,0,298200,155000,11000000,360,1,2
Male,0,0,1,0,341700,73800,10000000,360,,0
Male,1,1,1,0,1884000,0,23400000,360,1,0
Male,1,2,1,0,299500,112000,18400000,360,1,0
Male,0,,1,0,357900,330800,13800000,360,,2
Female,1,1,0,0,383500,140000,11200000,480,0,1
Female,0,1,0,0,385400,357500,11700000,360,1,0
Male,1,2,1,0,583300,75000,4900000,360,0,0
Male,0,0,1,0,350800,0,9900000,360,1,0
Female,1,3,0,0,163500,244400,9900000,360,1,1
Female,0,0,1,1,333300,391600,21200000,360,1,0
Male,0,1,1,0,2479700,0,24000000,360,1,2
Male,1,2,1,0,566700,44000,13000000,360,0,2
Female,0,0,1,0,350000,0,9400000,360,0,2
Male,1,3,1,0,277300,149700,10800000,360,1,2
Male,1,0,1,,650000,0,14400000,360,1,1
Female,0,0,1,0,576900,0,11000000,180,1,2
Male,1,3,0,,363400,91000,17600000,360,0,2
,0,0,1,0,2916700,0,18500000,360,1,2
Male,0,0,1,0,216600,205700,12200000,360,1,2
Male,1,0,1,0,500000,0,12600000,360,1,0
Female,0,0,1,0,553000,0,13500000,360,,1
Male,0,0,0,0,900000,0,12200000,360,1,0
Female,1,2,1,0,1000000,1166600,46000000,360,1,1
Male,1,1,1,,875000,0,29700000,360,1,1
Male,1,0,0,0,215700,273000,14000000,360,,0
Male,0,0,1,,197200,434700,10600000,360,1,0
Male,0,0,1,0,498300,0,14100000,360,1,1
Male,1,1,1,0,833300,400000,0,360,1,1
Male,1,0,1,0,366700,200000,17000000,360,1,2
Male,1,2,1,0,316600,283300,14500000,360,1,1
Male,0,0,0,0,327100,0,9000000,360,1,0
Female,1,0,1,0,224100,200000,8800000,360,0,1
Male,1,1,0,,179200,256500,12800000,360,1,1
Female,1,0,1,0,266600,0,8400000,480,1,2
,0,0,1,0,647800,0,10800000,360,1,2
Male,0,0,0,,380800,0,8300000,360,1,0
Female,1,2,0,0,372900,0,11700000,360,1,2
Male,1,2,1,0,412000,0,12800000,360,1,0
Male,1,1,1,1,750000,0,7500000,360,1,1
Male,1,1,1,,630000,0,12500000,360,0,1
Female,0,,1,1,1498700,0,17700000,360,1,0
,1,1,0,1,57000,212500,6800000,360,1,0
Male,1,0,1,0,260000,70000,9600000,360,1,2
Male,0,2,0,0,273300,108300,18000000,360,,2
Male,1,2,1,1,750000,0,18300000,360,1,0
Male,1,2,0,0,385900,0,12100000,360,1,0
Male,1,1,1,0,682500,0,16200000,360,1,0
Male,1,0,1,0,370800,470000,13200000,360,1,2
Male,0,0,1,0,531400,0,14700000,360,1,1
Female,0,3,1,0,236600,527200,15300000,360,0,0
Male,0,,1,0,206600,210800,10400000,84,1,1
Male,1,2,1,0,500000,0,14900000,360,1,0
Female,0,0,1,0,376700,0,13400000,300,1,1
Female,1,0,1,0,785900,87900,16500000,180,1,2
Female,1,0,1,0,428300,0,12000000,360,1,0
Male,1,0,0,0,170000,290000,6700000,360,0,1
,0,0,0,0,476800,0,12500000,360,1,0
Male,0,0,1,0,308300,273800,12000000,360,1,1
Male,1,1,1,0,266700,154200,14800000,360,1,0
Female,1,0,0,0,164700,176200,18100000,360,1,1
Male,1,3,1,0,340000,0,8000000,120,1,1
Male,0,1,1,,1600000,500000,4000000,360,1,2
Male,1,0,1,0,533300,0,9000000,360,1,0
Male,0,0,1,0,287500,241600,9500000,6,0,2
Male,1,1,0,,260000,61800,12200000,360,1,2
Male,1,2,1,0,504100,70000,15000000,360,1,1
Male,1,3,1,1,695800,141100,15000000,360,1,0
Male,1,1,1,0,350000,165800,10400000,360,,2
Male,1,0,1,0,550900,0,14300000,360,1,0
Male,1,3,1,0,969900,0,30000000,360,1,1
Female,1,1,0,0,362100,271700,17100000,360,1,1
Female,1,0,1,0,470900,0,11300000,360,1,2
Male,1,0,1,0,151600,195100,3500000,360,1,2
Male,0,2,1,0,240000,0,4600000,360,1,1
Female,0,0,0,0,301500,200000,14500000,360,,1
Male,1,0,1,0,229200,155800,11900000,360,1,1
Male,1,1,1,1,236000,335500,8700000,240,1,0
Female,0,0,1,0,433300,233300,16200000,360,0,0
Male,1,0,1,1,262300,483100,12200000,180,1,2
Male,0,0,1,1,397200,427500,18700000,360,1,0
Male,1,3,0,0,352200,0,8100000,180,1,0
Male,1,1,1,0,470000,0,8000000,360,1,1
Male,0,0,1,0,685800,0,17600000,360,1,0
Male,1,3,1,0,833400,0,26000000,360,1,1
Male,1,0,1,0,339100,196600,13300000,360,0,0
Male,0,0,0,0,286800,0,7000000,360,1,1
Male,1,2,0,0,341800,138000,13500000,360,1,1
Male,1,0,1,1,250000,29600,13700000,300,1,0
Male,1,2,1,0,866700,0,25400000,360,1,0
Male,0,0,1,0,228300,1500000,10600000,360,,0
Male,1,0,1,0,581700,91000,10900000,360,1,1
Male,1,0,1,0,511900,376900,12000000,360,1,0
Male,1,3,0,0,531600,18700,15800000,180,0,2
Male,1,3,1,0,760300,121300,19700000,360,1,1
Male,1,1,1,0,379100,193600,8500000,360,1,1
Male,0,0,1,0,250000,0,6000000,360,1,1
Male,1,2,0,0,313200,0,7600000,360,,0
Male,0,0,1,0,400000,266700,15200000,360,1,2
Female,1,0,1,0,855000,425500,9600000,360,,1
Male,1,1,1,0,226900,216700,9900000,360,1,2
Male,1,3,0,1,400900,177700,11300000,360,1,1
Male,1,0,1,0,415800,70900,11500000,360,1,1
Male,0,0,1,0,325000,199300,12600000,360,,2
Male,1,0,1,0,500000,239300,15800000,360,1,0
Male,0,0,1,1,920000,0,9800000,180,1,0
